model_family,model_name,training_sample_size_used,source,parameters,validation_roc_auc,validation_pr_auc,test_roc_auc,test_pr_auc,validation_selected_threshold,test_precision,test_recall,test_f1,notes,runtime_seconds,runtime_minutes
XGBoost,xgboost_light_baseline,539002,delivery reverted feature table baseline screen,xgboost; trees=500; mtry=5; min_n=10; tree_depth=4; learn_rate=0.05; loss_reduction=0; dummy encoded; median-imputed numeric predictors; unweighted,0.8706446997351943,0.1796494708733016,0.8077639024416522,0.08165624186257696,0.08499999999999999,0.08307786633966892,0.3288834951456311,0.13264806656877143,completed,25.095628023147583,0.4182604670524598
Random Forest,ranger_light_baseline,539002,delivery reverted feature table baseline screen,ranger RF; trees=500; mtry=5; min_n=20; splitrule=gini; median-imputed numeric predictors; unweighted,0.8618501907260997,0.17319315502669266,0.7947134090783163,0.07961606818371668,0.135,0.09519038076152304,0.345873786407767,0.1492928234677842,completed,81.05134606361389,1.3508557677268982
DNN,nnet_mlp_light,539002,delivery reverted feature table baseline screen,nnet MLP; hidden_units=4; penalty=0.001; epochs=40; dummy encoded; median-imputed and normalized numeric predictors; unweighted,0.833131435067592,0.1893974928205729,0.7723903566488745,0.0899051933396117,0.3,0.05913918390162102,0.6419902912621359,0.1083017709079742,completed,84.20609593391418,1.403434932231903
SVM,svm_rbf_kernlab,20000,delivery reverted feature table baseline screen,"RBF SVM; cost=1; rbf_sigma=0.01; 20,000-row stratified training cap following v1_light; dummy encoded; median-imputed and normalized numeric predictors; unweighted",0.7654059438465948,0.08891150911132928,0.7391937608635872,0.04766546088568348,0.05,0.06016538351867693,0.25606796116504854,0.097437081505426,"SVM uses the v1_light 20,000-row stratified cap because full RBF SVM training is computationally infeasible.; completed",85.32033920288086,NA
Logistic Regression,logistic_glm,539002,delivery reverted feature table baseline screen,glm logistic regression; dummy encoded; median-imputed and normalized numeric predictors; unweighted,0.8396185546783167,0.1521056257555377,0.720813231849216,0.05849620725665275,0.09,0.06276005547850208,0.2196601941747573,0.09762675296655876,completed,61.55878019332886,1.0259796698888144
