route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"SB",6,840,"East 34th Street",3113,1,31,143
"SB",6,887,"East 34th Street",3115,1,31,143
"SB",7,888,"East 34th Street",3121,1,31,143
"RS",4,890,"Wall St./Pier 11",2607,1,26,147
"RS",4,891,"Wall St./Pier 11",2206,1,22,147
"RS",4,893,"Wall St./Pier 11",2307,0,23,149
"RS",4,894,"Wall St./Pier 11",2505,0,25,149
"SB",4,896,"Red Hook/Atlantic Basin",3201,0,32,142
"SB",4,897,"Red Hook/Atlantic Basin",3116,0,31,142
"SB",4,899,"Red Hook/Atlantic Basin",3217,0,32,142
"SB",4,900,"Red Hook/Atlantic Basin",3118,0,31,142
"SB",4,901,"Red Hook/Atlantic Basin",3219,0,32,142
"SB",4,904,"Red Hook/Atlantic Basin",3120,0,31,142
"SB",8,905,"Governors Island",3102,0,31,137
"SB",8,907,"Governors Island",3104,0,31,137
"SB",8,908,"Governors Island",3106,0,31,137
"SB",8,910,"Governors Island",3108,0,31,137
"SB",8,911,"Governors Island",3110,0,31,137
"SB",8,913,"Red Hook/Atlantic Basin",3112,0,31,142
"SB",8,914,"Red Hook/Atlantic Basin",3114,0,31,142
"SB",8,916,"Red Hook/Atlantic Basin",3116,0,31,142
"SB",8,918,"East 34th Street",3101,1,31,136
"SB",8,1033,"East 34th Street",3103,1,31,136
"SB",8,1034,"East 34th Street",3105,1,31,136
"SB",8,1035,"East 34th Street",3107,1,31,136
"SB",8,1036,"East 34th Street",3109,1,31,136
"SB",8,1037,"East 34th Street",3111,1,31,136
"SB",8,1038,"East 34th Street",3113,1,31,143
"SB",8,1039,"East 34th Street",3115,1,31,143
"ER",1,5299,"East 34th Street",1101,1,11,141
"ER",1,5300,"East 34th Street",1301,1,13,141
"ER",1,5301,"East 34th Street (E R A)",1501,1,15,133
"ER",1,5302,"East 34th Street (E R B)",1601,1,16,134
"ER",1,5303,"East 34th Street (E R A)",1103,1,11,133
"ER",1,5304,"East 34th Street (E R B)",1202,1,12,134
"ER",1,5305,"East 34th Street (E R A)",1303,1,13,133
"ER",1,5306,"East 34th Street (E R B)",1402,1,14,134
"ER",1,5307,"East 34th Street (E R A)",1503,1,15,133
"ER",1,5308,"East 34th Street (E R B)",1603,1,16,134
"ER",1,5309,"East 34th Street (E R A)",1105,1,11,133
"ER",1,5310,"East 34th Street (E R B)",1204,1,12,134
"ER",1,5311,"East 34th Street (E R A)",1305,1,13,133
"ER",1,5312,"East 34th Street (E R B)",1404,1,14,134
"ER",1,5313,"East 34th Street (E R A)",1505,1,15,133
"ER",1,5314,"East 34th Street (E R B)",1605,1,16,134
"ER",1,5315,"East 34th Street (E R A)",1107,1,11,133
"ER",1,5316,"East 34th Street (E R B)",1206,1,12,134
"ER",1,5317,"East 34th Street (E R A)",1307,1,13,133
"ER",1,5318,"East 34th Street (E R B)",1406,1,14,134
"ER",1,5319,"East 34th Street",1607,1,16,9
"ER",1,5320,"East 34th Street",1208,1,12,9
"ER",1,5321,"East 34th Street",1309,1,13,9
